subscriber_type,trip_id,start_date,subscriber_type_1,start_station_name,start_station_id,station_id,name,landmark
Subscriber,1076085,2016-01-29 12:24:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1104819,2016-02-24 18:15:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1103203,2016-02-23 17:45:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1092840,2016-02-14 05:04:00.000000 UTC,Subscriber,Mezes,83,83,Mezes Park,Redwood City
Subscriber,1109713,2016-02-29 16:31:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1085794,2016-02-08 16:30:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1126779,2016-03-16 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1125180,2016-03-15 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1103327,2016-02-23 18:26:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1073429,2016-01-27 16:34:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1087324,2016-02-09 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1136271,2016-03-24 16:35:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1083434,2016-02-05 16:29:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1118768,2016-03-08 16:30:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1095110,2016-02-16 17:26:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1079293,2016-02-02 16:33:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1080707,2016-02-03 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1104454,2016-02-24 16:31:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1078067,2016-02-01 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1114398,2016-03-03 16:36:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1106039,2016-02-25 16:33:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1071859,2016-01-26 16:36:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1075029,2016-01-28 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1088836,2016-02-10 16:33:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1133080,2016-03-22 16:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1097706,2016-02-18 16:33:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1111302,2016-03-01 16:34:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1051543,2016-01-04 19:49:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1080566,2016-02-03 15:05:00.000000 UTC,Subscriber,Redwood City Public Library,24,24,Redwood City Public Library,Redwood City
